Model,PC,MSE,R2,Q2,MAE,Best Params
AdaBoost,1,6.177073419171183,0.583937478773451,-0.1483516288732578,2.32608471132065,{'n_estimators': 50}
AdaBoost,2,4.246686555446135,0.7303097504319469,0.2105178144515127,1.870606292679006,{'n_estimators': 100}
AdaBoost,3,5.312124547860323,0.7768675716728971,0.012447082403058,2.0582861816154856,{'n_estimators': 50}
AdaBoost,4,4.733662813612192,0.832264503030435,0.1199862728395904,2.004481387231206,{'n_estimators': 100}
AdaBoost,5,3.889941706388824,0.8224375164973936,0.2768386270284944,1.8227632274536505,{'n_estimators': 50}
AdaBoost,6,3.02056419062657,0.8645555219440773,0.4384606474553336,1.6197372429120998,{'n_estimators': 100}
AdaBoost,7,3.8125598167758623,0.8982162507536935,0.2912243422292468,1.8496838080834168,{'n_estimators': 100}
AdaBoost,8,3.880769076368152,0.883034965510814,0.2785438689627408,1.6836463874489334,{'n_estimators': 100}
AdaBoost,9,2.8704402446660136,0.9050000128677844,0.4663695075542988,1.5412154102544782,{'n_estimators': 50}
AdaBoost,10,2.9938941393761365,0.9160918725241117,0.4434187554001924,1.5166242669056615,{'n_estimators': 50}
