ID,Cluster
0,3
1,1
2,5
3,6
4,8
5,1
6,6
7,1
8,1
9,10
10,0
11,1
12,1
13,13
14,4
15,1
16,9
17,6
18,6
19,0
20,11
21,1
22,7
23,1
24,7
25,4
26,4
27,5
28,11
29,1
30,7
31,6
32,1
33,12
34,6
35,2
36,1
37,1
38,0
39,2
40,2
41,1
42,12
43,2
44,11
45,2
46,1
47,1
48,1
49,1
50,2
51,6
