,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
MACCS_sim_score,0.004223281090794423,-0.08503526852510808,0.024421405136726186,-0.02545472987019672,-0.05520500058349063,0.019458404092749293,-0.0024377658499592433,-0.034207673418687766,-0.00012140075097225247,0.01807050443967781,-0.054691403766204794,-0.006990288295330239,0.06726123450413501,-0.02845828246687207,-0.023938364851474835,-0.07547206564032655,0.025170722149502445,0.046967568574102295,0.033640034749616465,-0.006367418366261129,0.003587918651836293,-0.03841767237813415,-0.032769474816708444,0.04693736617636978,0.0026044400560953033,-0.004033003565348647,-0.05240244562201564,0.030839431102322283,-0.030297187293743498,0.036432993548261294,0.011862244611329377,0.013665979661688468,-0.0015147823973586515,0.07345288820031448,-0.03130625372486094,-0.0009102375076170837,-0.0120540073321665,-0.024904321844435924,-0.0048932281594762615,-0.005530607862302737,-0.0013241484771087848,-0.01576109030706471,0.04079349540781396,-0.02159556619251861,0.040004130054543514,-0.022703766229975785,-0.005352263446026505,0.08954460556508509,0.025397681252647977,-0.005537311696622581,-0.0442460042840014
ECFP4_sim_score,-0.008936833042157132,-0.018763358315457054,0.08890776055554261,0.039739292919745185,-0.03922100418864881,-0.03794067459846037,-0.007237735054104286,-0.047414294240983854,-0.0289999893405899,0.022561787437818254,-0.0048636780762056206,0.01409855335799588,-0.0032228304814971047,0.04102102017308164,-0.08131452479743226,0.008005257752731254,0.012152844145426134,-0.031048535240475104,-0.05037334365615512,-0.07545989529560952,-0.03042220670997547,-0.08669040886896107,-0.029682684101605097,0.035241170346087536,-0.0304480783138842,0.05447123272868222,0.034452830721352995,0.0570325672291269,0.06701197305133899,-0.05532735097545158,-0.08455043347651237,0.0038987291660286354,0.028249934965559255,0.005666668690493314,-0.049513754303250286,-0.0456397100026758,0.042656436926404896,-0.07176539257549823,0.006656254116830944,-0.033289825167834054,0.006021792480729572,0.08721828853286584,-0.04797821265633976,-0.020350781566693857,0.0032770061948679424,0.040022709769402046,0.01151386425602719,-0.03392565143356956,-0.07377109105672948,0.004162032679988383,0.045711362624428084
MCSS_rdkit_sim_score,0.015292938974712702,-0.014183738661052003,0.09835594913260287,0.009506887623677884,-0.024999160815462107,0.01796240297199133,-0.05394890294148047,0.005487689917652665,-0.03511602391972977,0.020915213964128217,-0.07971381703605301,-0.015540580762755324,-0.009271846146128226,0.026237190437651492,0.0014239255056562742,-0.00989648740564446,-0.01579004296345357,0.07212886093452493,-0.016893229872019456,0.009236559108208729,-0.016268183632231686,-0.06394575148812542,0.00995198603945202,0.01543139385088388,0.0029338712444568673,-0.001619706489819005,0.0384182814504092,0.004735867737997446,-0.015904739071300755,-0.04471865777348877,-0.002780915853558224,0.04606527599311356,-0.03551108910669229,0.05503548008393712,-0.02796562118352685,-0.029231709605162456,0.07231260215168005,-0.03646230334015364,-0.020453283403771935,0.004279337489664316,-0.004551992700114383,0.018047768621169382,0.0009488191370796857,0.0018898172826488275,0.01717408217961638,-0.012205685251322047,-0.03348815579065873,0.08424663747527994,-0.031038127953849245,-0.004315850201563412,0.01683341767042943
rdkit_MaxAbsEStateIndex,0.05078620483308473,0.03848827820708916,0.011995882488422708,-0.051298324835329756,0.00709129690764504,-0.0019762051224105114,-0.040597965020176326,0.003448678609915689,-0.032000473771692864,-0.07375753397201947,-0.033220987910495665,-0.027225678371094547,-0.05351536173900425,-0.08088184347722288,-0.035862875043047235,0.12467711663967118,-0.017611654869260217,-0.07097849664925669,0.014687670009157943,0.023235745219751382,-0.012922692629310081,0.07165293047954434,-0.025444984110808092,0.01598238124285604,-0.0015146599183399228,0.039833391858462595,-0.07403365173753498,-0.008085146794280034,0.037447216104576755,-0.010332768600786944,0.048311877284467473,0.15843430716864892,0.005039841106841781,-0.05930627702112145,-0.007211130097222487,-0.020554134667448425,0.07778567965835981,0.03448767367909352,0.02093772692910975,0.04439449646273076,-0.011919313640564597,-0.07239448244871328,-0.023227631294221552,0.0799727312035356,0.011098012382327948,0.0014612948889718214,0.0035438594195222584,0.03397944925960336,0.01390417708700194,-0.0412104929183338,-0.01156455977533459
rdkit_MinAbsEStateIndex,-0.01945298701626084,0.005870264486918229,-0.025152875203069937,0.06549895070679694,0.030266165618070266,0.07650572580227562,0.03593232135703191,-0.06468230715241803,-0.0522882471552206,0.025335143303131573,0.01515715922418887,-0.05253820403713151,-0.015899525427382072,0.05886929561256546,0.03481346837649787,-0.05536338030946573,0.04915111291505742,-0.005462737982724813,-0.0782860204525923,-0.08035134844573501,0.03858758777772341,0.10623177366877296,0.08761185619917909,-0.08534637363329621,-0.11296795980312631,0.13516328033454458,-0.07582118987740685,-0.044386903746694135,-0.06464909967268156,-0.04370327872532901,-0.07821326323396922,0.023987812628843617,-0.06165069049612843,0.04812259978766333,0.0020053388555522867,0.030844489698817264,0.10538786825341065,-0.09231510796103594,-0.02241116268561265,0.06713194853099595,0.12573471061822325,0.11818226444084935,0.07174218802585453,0.19294890415178662,0.07733412413235992,0.002576921642002768,0.22564707512487017,0.00489877606694301,0.12010054190419416,-0.1876163299313651,-0.07312323142378413
rdkit_MinEStateIndex,-0.0702899751030658,-0.020178579715923517,-0.00013156840974248583,-0.04953902206657408,-0.04517869910765093,-0.011637188648885148,-0.02666754134171587,0.019688992826532258,0.011379773791071794,0.01910157963300396,-0.06632214619903093,0.0275625130726339,-0.011610099489856132,-0.013696140806263427,0.024202225816895268,-0.02752157018535511,0.06273334358519571,-0.13267407743056503,-0.051190019701867845,-0.06237632172622991,-0.003300955906394787,0.05814797580649732,0.017431928188810116,0.01923904679232695,-0.018424776632362846,-0.024138962250544974,-0.01571666408923475,-0.012416345023765568,0.005975503506036906,0.020255216473202695,0.009538881117887471,-0.008111119504339057,-0.0018823038868320894,-0.058093052094378664,0.0049395090883783506,-0.019031806472894135,-0.016030607637806848,0.03555269236785976,0.019592727185789194,-0.020914480590796602,0.005825872718947495,0.005192630422224336,-0.0023915208838735285,-0.020113741770872523,0.0032363731785163266,0.0018537527320584418,0.008760630290140218,-0.0041914789434892115,-0.0003888882369392175,0.004461993570788573,-0.028037383332931175
rdkit_qed,-0.05068607698414509,-0.007420277905934274,-0.002994605039628329,-0.006233698200569654,-0.03681966525504295,0.037680952042567266,0.09440391325736637,-0.05225564602021742,0.056341746844465516,-0.06962367117491189,0.08655895717576789,0.020038824591673575,-0.07768582732999742,-0.06862001737440729,-0.051397578740516855,0.01908311838236116,-0.00717555699088957,0.015249039989538542,-0.00637303432114234,-0.05002815342746667,0.0005794160993222022,-0.11539229592036328,-0.010771470160554963,-0.016647108386351996,0.03194116641342739,0.014105257428895644,0.0005599198709509083,-0.0242529562161223,0.06340029480059818,-0.04173280322818694,0.03800825343088232,0.003738293951504906,-0.03789280186068682,0.05632817770487563,0.0190924755152607,0.024637542974547785,0.06144530872097365,-0.007125393407424891,0.03971474755750492,-0.021856210244393295,0.017181154670189575,0.035650697823586285,-0.034587973963118704,0.046878720169784484,-0.035487106922770406,0.042875710699605885,0.04061999938084372,0.0006259271704514816,0.05932069998218533,0.023191720875866444,-0.12302911717922277
rdkit_SPS,-0.013266487928643204,-0.029376710964328673,-0.10434599198220407,0.003814743458841612,0.03836269088468267,-0.027886149617094822,0.02603463672073189,-0.020787673210361127,-0.0016382079816075299,-0.014201716423169834,0.03363520859366064,0.034938728121877496,-0.03167319180826837,0.009655664004536811,-0.00997756196668795,0.015485606104816772,-0.006612271717474986,-0.020580025152203307,-0.009753842406345161,0.008503750269303206,-0.0025791494781920435,0.012012776976230868,-0.03358118002517937,-0.015904676289568067,0.03693013844528234,0.013765695842707606,-0.011875420085071742,0.013132713027794498,0.007396367353706494,-0.026880521420138002,-0.009837689874941073,0.019107257610672217,-0.009823986764263149,0.01278016721958014,0.057119042904068384,0.010860963912620371,-0.001498627983289954,0.008621135034222254,0.024281584891196892,-0.007239848504773868,-0.013749484535115875,0.015513443228417306,-0.01229591485912322,0.0038873409865088525,-0.014038223702539416,0.014372863427822317,-0.012668611044909779,-0.013288370364050913,-0.0027018984262808334,0.0040166338146322336,0.01983640285143613
rdkit_MolWt,0.07571923650954972,-0.008917580017302102,-0.06021506246780523,0.04207359830395812,0.015604056551503166,-0.0060805270263137945,0.007666604002803295,0.02784473965993664,-0.015789068870331633,0.03609806424333192,-0.027656577048143203,0.00026651245916743297,0.011465413983020437,0.006376398924891459,0.011804686866900196,0.019265931785111507,0.009465839593319562,-0.010127234674949253,0.008304082148523052,0.0125920500451517,-0.022907445165233,0.003719416752323299,-0.0067302071415090555,0.010610564657923734,0.009052157295063727,0.0022092193720749773,0.016344745299310112,0.012931433746364697,-0.0019574944785683353,-0.01201081706340726,8.082100274024532e-06,0.02035837023206571,-0.00030893517465277036,-0.002398470586479666,-0.012549732815072583,0.02513079033729143,0.0015955277962598838,0.010919192272436182,-0.0017965719765931402,-0.005743111846885642,0.016874207018199777,0.009193982900023354,-0.00471875506508287,-0.0046605444384970225,0.0023071956394548248,0.0036823180827889,-0.0006571308902167152,0.008039218859860274,0.014570959836235084,-0.006977519498938945,-0.014776434155268085
rdkit_MaxPartialCharge,0.07422584394462872,0.013851914267156342,-0.03697243840811413,-0.01338844677958827,-0.06885566161522635,-0.007438387693681744,0.017320929894884072,0.018810524081247844,0.0008541366492945869,0.03365088230187047,0.00358630924566062,-0.02196251338279802,-0.00033660416707134385,0.05276385869098711,-0.029144209454305146,-0.06308118874971844,-0.008841345357732048,0.023356571518256927,-0.0644596896472901,-0.01943319690584649,-0.0069706421436820445,0.03208034329645618,0.015217057442133959,-0.03137638326615519,-0.05157982078090845,0.014727732962277139,0.01652338537064343,-0.034817015563231656,0.04421552657140324,0.03889490247725315,-0.048996683533736284,-0.010338135200037178,0.011749999616442646,-0.05448762538949254,0.02103623982016868,0.0186194796877137,0.023799261695042984,-0.028714678610312648,0.007730203215012216,-0.10692355964535202,-0.16279180228878257,0.021167392388755223,0.03179148426788402,0.033083602334139824,0.04115051065977906,0.0025091441420074146,-0.04663809820529518,-0.01561422972476577,-0.0024347713140817698,-0.008352140727774194,-0.03257680558360773
