Model,R2,Q2,MSE,MAE
Random Forest,-0.6737710799382508,-0.6737710799382508,3.4972333268817732,1.5748810682803918
PLS,-1.1829478865252923,-1.1829478865252923,4.561124392162416,1.7225246642877652
AdaBoost,-0.5432063457887686,-0.5432063457887686,3.2244270004635434,1.4770743731496903
XGBoost,-0.8793016201797099,-0.8793016201797099,3.9266757181620457,1.6537824384589421
MLP,-3.52861232254416,-3.52861232254416,9.462234190062116,2.121323762527123
KNN,-1.2832912668978427,-1.2832912668978427,4.770785210285646,1.785353637653682
Gradient Boosting,-0.6232865978574329,-0.6232865978574329,3.391749359964436,1.5635627865226334
SVR,-0.30750189826151053,-0.30750189826151053,2.731938237175201,1.3637670945130065
