Cluster
3
1
5
6
8
1
6
1
1
10
0
1
1
13
4
1
9
6
6
0
11
1
7
1
7
4
4
5
11
1
7
6
1
12
6
2
1
1
0
2
2
1
12
2
11
2
1
1
1
1
2
6
