Cluster
4
2
4
2
8
2
2
1
2
2
1
2
1
2
0
2
6
0
0
0
6
5
5
5
5
0
0
4
6
1
5
7
5
0
7
3
1
7
0
3
3
7
3
3
6
3
7
7
1
7
3
0
