,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
MACCS_sim_score,0.02014319340943051,-0.09269629166141732,-0.01428109576888231,-0.006282231337254279,-0.0617649100485366,-0.017003464349608536,-0.0005996010976176528,-0.025226103527861612,0.02698031840621811,-0.06263954534923234,0.03909699431089082,0.06330136492079126,-0.01946025288400976,0.046512969138257816,-0.00011665766482916786,-0.04420730172568111,-0.08664879291339213,0.0440765904041991,0.022658590223911826,-0.003668537332857945,0.006694220222261317,0.007119308809616136,0.09961565064778645,0.00943531791510865,0.031479790522233916,0.019958785280619448,-0.032065658739346865,-0.021163178628383884,0.0018690905710641791,-0.026568958056904637,-0.023347851095446744,0.045178862402822755,0.005550611235702056,0.007220578973540835,0.023949432374855376,0.009402073035583481,0.023924132693603866,-0.036443868560817605,-0.0046531936112180336,-0.007332999754800286,0.0010621318620533888,0.009641801358003422,-0.03172541253591485,0.01625543249577858,-0.04604078497702427,-0.03139138746886163,-0.010796302102546718,-0.10244041838770196,0.027992956700738557,-0.04830196338729504,-0.0014386321647049376,-0.01889572210362945
ECFP4_sim_score,0.01576107892654337,-0.025324048911359746,-0.09805984076411779,0.05107467050220545,-0.02838779436684681,0.03171751371743728,-0.00995607560972381,-0.07925347249965183,0.005933682149661786,-0.008759158875174393,-0.00972394125184436,0.011629643310569949,-0.05414978252919296,-0.06077330193549205,-0.04889905396081538,0.02032572858553495,-0.022544941727390272,0.030978291837075476,-0.10050379874651545,0.02588503792008891,0.11539238489671022,-0.0011256272631807952,0.06097644262648392,0.01654020717361204,-0.028660993845373205,-0.03685973890067018,0.08039481699367684,0.08844407321092469,0.028740897133749953,0.053955599661002725,0.06086632852474769,0.031261279618990806,0.05488854748433033,0.0699778029226395,-0.038215328692691786,-0.09149600608476992,0.004128813818724023,-0.08381077444576034,-0.02077299719571156,-0.04176404638080822,0.03497631070330696,0.06700180354333114,0.11833649667527445,-0.026461034284567975,-0.004511452381954554,0.0016127074399725598,0.027773759439420356,0.04745430300913909,-0.08791238859661177,0.038407354434093016,0.005223323066348708,0.018366984707795065
MCSS_rdkit_sim_score,0.05537619827594348,-0.02254047705563441,-0.10811770909702102,0.010951055248476707,-0.0232489577910337,-0.04376886634416981,-0.09139693358781677,-0.01617725194999676,0.07208863628097192,-0.049785177014017516,-0.014377497647733283,0.017093262303468484,0.010482860695438613,-0.027191239893442874,0.049359538511971,0.04381639473009953,-0.056158072493778514,0.013263652822099294,0.023655033040629922,-0.021822494944239393,0.05560870766725374,-0.06167932358425313,0.04715359338947032,0.01890723908470302,0.00896969494828336,-0.051654097831404705,0.028780509667182326,-0.0010181676290619763,-0.04910499789678382,-0.011423313604186447,0.0823197472596267,0.07827797327255637,-0.01531471636212359,-0.039217585209064196,0.007369041490943777,-0.088689500273384,0.012686885881352828,-0.021387054810795357,-0.03716362289137289,-0.0073427887307622175,0.0029397511964643058,0.031806985340648235,0.03143464548754154,0.0175437317425172,-0.01412153098700088,-0.010569745175444172,-0.05633378649688758,-0.10926184488103212,-0.04266412244355006,0.01038230787454894,-0.004873156365103165,0.2654261600008252
rdkit_MaxAbsEStateIndex,0.047564930911686454,0.037419672348245024,0.0042419724324110585,-0.04882385679745056,-0.00969003587694514,0.01724239294091215,-0.050801466525548934,0.009222882931618204,-0.033961101258670336,-0.05658532622024955,-0.04857770554838263,-0.046730867739815045,0.035316243914803654,0.02442099557167353,-0.08600305532011855,0.01735385815052001,0.08986409135819612,-0.05791156473065214,-0.011651771669566095,-0.04934136801809712,-0.02996249940941425,0.040207233346668765,-0.0009428897610644912,-0.026477292189727976,0.046843142253813204,0.06035215555060804,0.026629835663971688,-0.01869807096806876,0.04029271002903846,-0.08668465954018849,0.10237478488974408,-0.08179249352618735,0.02653388767047053,-0.05604056174824504,-0.0024433443542581216,-0.059302906482287567,0.009724802741275159,0.017893337521286988,0.03028164478605086,0.032826476017207167,0.014005337698030982,-0.06066452482577895,-0.038360686264933004,0.014418123717368201,0.0006602436091615826,0.027677600857900046,0.00614272082182077,-0.028633160139462255,0.014830368648829351,-0.029960372753505393,-0.028993592941072604,0.050888496004723185
rdkit_MinAbsEStateIndex,-0.020696108435726522,0.0047486477559961025,0.010657957050408418,0.03454480576958857,0.03293638624893882,-0.06079335726206004,0.026307769635530946,-0.05013122704215207,-0.004278773810084722,-0.01973075697457464,0.0033494846615260937,-0.02338005079311398,0.028013284923530533,-0.04600018141861076,0.043685217415981976,-0.01871592818443662,-0.010717677078006336,0.06434523310897622,-0.03165712084294842,0.0664050226387196,-0.009103404265742875,0.03271894673342193,-0.08723729236552254,-0.033275687294147635,-0.034638904495695906,0.16103553669119147,0.04038351883595869,0.019647768463584372,0.034439770903939626,0.10442465423599388,0.09366255132676427,0.042716846848257016,-0.046721200080344714,-0.06274194057564217,0.06355908347660619,-0.05651805627439418,-0.012714251453934945,-0.0519167096550204,-0.03834445829333767,0.06257440627502828,0.08889221075130384,0.022546271892349937,0.048343096131995625,0.1360893823717457,0.023675761011376563,-0.026243866801967823,0.20171600910305496,-0.022190489932055597,0.11147349485274217,-0.06820468987281171,-0.19274940460555245,0.029518140003948326
rdkit_MinEStateIndex,-0.05447798650923917,-0.026385149079206374,-0.015833833912272728,-0.03939358130804417,-0.04704557921512684,0.018580106740856236,-0.03433842054873854,0.01315417999482327,0.04430219182857999,-0.008489201774926802,-0.008858152865587271,0.04013197874937473,-0.015420244882742061,-0.0012791799211671995,-0.018489832756950018,-0.06315474909660874,0.06890457118561351,0.05419743950354265,-0.055692220669488916,0.03501740396604956,-0.004177754403510917,0.032693638793041005,-0.057345902994149905,-0.03518903776822184,-0.014133802458009024,0.013866034093344736,-0.02106838924061182,-0.024158900733499262,0.006683833822278571,-0.010430293641634504,-0.01009830048337875,-0.050185296426863236,-0.006099649286212375,0.017466164687702602,-0.03396392414981588,0.007208213348529395,0.001969502986405468,0.013258540079580753,0.021064858671511828,-0.013361303996184954,0.008666786360009981,0.012866940641690212,-0.007048401684853101,-0.028582762489044036,-0.006885800442274421,-0.001910527637359886,0.013334032565665762,0.009895873691693076,-0.005263417134682685,-0.025782639866448315,0.006276977592493208,-0.053088333690570075
rdkit_qed,-0.05391729756296862,-0.017970087336674864,-0.013101729911268428,-0.005326784921778184,-0.038124121741720016,-0.01366565667477905,0.10944668993231618,0.03126610314160472,-0.11667149556948977,-0.030279121247024317,-0.0522777679604237,-0.08303319178971724,-0.07391396926474188,0.004638601467492154,-0.03404931342008351,-0.016835750974514552,0.0020621230110429577,-0.02269045697069851,-0.004468212024912605,0.03942020021644931,0.09413197957088604,-0.012583003459485702,0.011721960832320936,0.07917634878632249,0.046095050299483596,-0.04289515911464934,0.10807615252320739,-0.019014639505182757,-0.05182563911543368,-0.029509933062984696,0.012341091128465638,0.06705618224288272,-0.005505084849706799,-0.050674622431125554,0.020866692488716632,-0.05526940983424108,0.024099982909774987,0.03725784175375122,0.020344264897102525,-0.047979353932000215,0.022461711688444762,-0.0005695095793130449,0.07297859960682739,0.01948008543432049,0.05337562805392791,0.031091866440501596,0.0508994096926679,0.003878108254005522,0.06452010526113042,-0.12401936565439443,0.013024672577936942,0.023227909716314433
rdkit_SPS,-0.034374586078370795,-0.02256390821666164,0.08524480081605801,0.007531530621723309,0.03568440643914404,0.03420982255594708,0.028805678518929196,-0.014238817102660286,-0.017947568845029183,0.015323784672477735,-0.027112065053708233,-0.008568400227921486,-0.018355867364658593,-0.018245954519939656,-0.003446096810408291,0.0072909309704325565,0.01805726259175914,-0.01706986484683635,-0.02713948553290032,-0.012285914349693687,-0.023585542424926508,0.027331982671092356,0.011307542450872586,0.03188192605907936,0.020915513592146398,-0.01063416335733621,0.009345236694847674,0.014734346069628642,-0.007973633720234173,-0.00010067651133113786,0.03148107810726148,0.010309825641071038,0.002392685363442076,-0.005116207529446231,0.03388596166956591,0.004732682839786947,-0.027729278271375772,0.04615696832447688,0.031200570070119716,-0.021246481268075042,-0.010536950160215074,0.009519293023117366,0.015409780184272009,-0.004305100720863514,0.01790818447903156,0.01967634391631895,-0.011246737270464711,0.01130406597900128,-0.0003687386464872242,0.02364764334306127,0.0030146075176465015,0.10298679127664533
rdkit_MolWt,0.04912790526182589,0.007344624773458543,0.0627624580544586,0.04445973639827138,0.01645373493947039,-0.003600275361402998,0.005374751273515811,-0.0038097262789451593,0.04664717423918755,0.007792366772990708,-0.001537534167520986,0.011598975650866284,0.02195100355414724,0.002067159618864013,-0.016098462077988467,0.008136686145286665,0.015513619065272792,0.006292167506980541,-0.0024676364463329333,-0.01564540684962227,-0.0018016385917233218,-0.0018013398413898349,0.016375635004580193,-0.004258058567514188,0.001530917920872105,-0.016084645797228247,-0.011656285069716568,0.014237374790059118,-0.0016782422020012444,0.001851542657182865,0.00999354799646198,-0.013330989052136201,0.008089245941079017,-0.007647763380994931,0.02316084360588993,0.008503558472500165,0.021632790728802156,0.0010066249000495943,-0.004791601674519496,-0.0033196785306943404,0.010502833988292031,0.0017403793531874817,0.0012680891398532943,-0.0027182692795624927,-9.240787252746204e-05,0.007438317547224883,0.00020894970729990134,-0.007295558285114744,0.010324081438237898,-0.013054417788548255,-0.007370769608561687,0.001761974832852999
rdkit_MaxPartialCharge,0.05936789108532993,0.023885405429949238,0.05042599742769752,0.008486450915962411,-0.0770534700950574,0.0037206603250773958,0.019038714517515133,0.0021559809323326955,0.03192506913951269,0.02147494856894898,0.018780640237495518,-0.011182741512884918,0.008630233688151285,-0.028376292954525543,0.036725609542270145,0.004704039301824387,-0.0758582346004087,0.021365660751651964,-0.06395882740408729,0.005330213678274085,0.014598326411306468,0.010427562590690324,-0.051347239997975365,-0.011458025277525891,-0.045855548927347105,0.02048036175599041,0.025745228845063414,0.010645332765953381,0.08411285763838902,0.033180020117178716,-0.019275020046368826,-0.05586988053840658,-0.021672658710495497,-2.2391586335104516e-06,0.002364153946216849,-0.03379643842837643,-0.011787648748450112,-0.020633696510369375,0.004171284328281879,-0.08970888558012384,-0.15558964297382344,0.08029025852320555,-0.020405831374228342,0.04618985928712465,-0.027900061151733,0.004857101151943905,-0.035003939411286746,0.026211815514795758,0.006118506181448413,-0.03959112855957892,-0.006675927990612245,-0.05916856817262028
