Model,R2,Q2,MSE,MAE
Random Forest,0.9226913486537742,0.8250172345395319,0.6233769120467235,0.668074078479466
AdaBoost,0.9431218362329447,0.890030672544866,0.3917662381688878,0.4812352538036374
XGBoost,0.9955034360971172,0.8771867353558078,0.43752282386672897,0.5270103387833588
MLP,0.992972988044935,0.6643868856600315,1.1956232735783268,0.8037023758127148
KNN,0.9147135102896606,0.8657267738856026,0.47834898965895345,0.5060488116906475
Gradient Boosting,0.9981768430266439,0.8743729764413881,0.4475468530258247,0.5153115553197598
SVR,0.9019227436621756,0.8004245326780749,0.7109885262816363,0.6188038230256937
