ID,Cluster
0,2
1,1
2,2
3,1
4,2
5,1
6,1
7,1
8,1
9,2
10,0
11,1
12,1
13,1
14,2
15,1
16,0
17,1
18,1
19,2
20,0
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,0
29,1
30,1
31,2
32,1
33,0
34,2
35,0
36,1
37,1
38,2
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,2
52,2
53,1
54,1
55,0
56,1
57,1
58,0
59,0
