ID,Cluster
798,22
799,22
800,27
801,5
802,5
803,0
804,15
805,6
806,5
807,12
808,27
809,11
810,5
811,5
812,16
813,25
814,17
815,36
816,30
817,34
818,25
819,10
820,5
821,0
822,7
823,30
824,25
825,15
826,24
827,4
828,25
829,4
830,3
831,3
832,25
833,21
834,10
835,5
836,12
837,8
838,27
839,25
840,25
841,0
842,1
843,5
844,0
845,21
846,36
847,9
848,11
849,27
850,32
851,10
852,20
853,25
854,19
855,34
856,27
857,5
858,31
859,9
860,15
861,25
862,34
863,17
864,16
865,19
866,26
867,10
868,7
869,25
870,36
871,32
872,31
873,36
874,17
875,29
876,8
877,14
878,5
879,11
880,34
881,10
882,14
883,2
884,12
885,13
886,37
887,15
888,12
889,26
890,36
891,36
892,19
893,10
894,7
895,3
896,3
897,5
898,5
899,29
900,3
901,20
902,20
903,19
904,20
905,3
906,1
907,12
908,10
909,6
910,25
911,35
912,21
913,30
914,16
915,13
916,3
917,25
918,36
919,34
920,14
921,23
922,15
923,27
924,3
925,0
926,35
927,7
928,0
929,31
930,8
931,5
932,5
933,23
934,9
935,36
936,0
937,9
938,37
939,25
940,4
941,25
942,35
943,5
944,16
945,24
946,9
947,23
948,7
949,8
950,21
951,24
952,2
953,36
954,20
955,8
956,34
957,5
958,36
959,21
960,27
961,12
962,8
963,0
964,18
965,34
966,8
967,0
968,10
969,7
970,37
971,17
972,25
973,2
974,34
975,15
976,32
977,35
978,8
979,16
980,5
981,5
982,26
983,21
984,8
985,2
986,23
987,20
988,0
989,35
990,5
991,7
992,35
993,7
994,22
995,10
996,4
997,6
998,6
999,10
1000,33
1001,14
1002,8
1003,10
1004,14
1005,17
1006,17
1007,26
1008,29
1009,14
1010,20
1011,19
1012,18
1013,35
1014,25
1015,2
1016,26
1017,29
1018,3
1019,30
1020,26
1021,15
1022,7
1023,8
1024,13
1025,12
1026,6
1027,3
1028,12
1029,22
1030,5
1031,17
1032,27
1033,35
1034,28
1035,3
1036,25
1037,9
1038,32
1039,0
1040,22
1041,15
1042,21
1043,13
1044,22
1045,26
1046,34
1047,3
1048,19
1049,14
1050,30
1051,10
1052,17
1053,12
1054,5
1055,4
1056,37
1057,25
1058,7
1059,4
1060,15
1061,20
1062,34
1063,20
