,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
MACCS_sim_score,-0.007508584990573432,-0.09021087284011585,0.014413722991769492,-0.025167798184669955,-0.05848746746111487,0.017177714614812864,0.003339511506371401,-0.028808124973640027,-0.017823288078917088,-0.05933439814871132,-0.027457493420554396,-0.021336450678945726,0.07019500819481296,-0.01670413585796342,-0.012282753488806598,-0.07886131584335974,0.02486797576120374,0.047554406144382735,0.038676378027709596,0.012412112390779988,-0.0014354342162869456,-0.05762023613069431,-0.025897017300721286,0.043681412830792916,0.00510382219244454,-0.01705124958866731,-0.04907947320488753,-0.0380361342728895,5.521308647140904e-05,0.036127610902693626,0.009229626569752496,0.01481129615519342,-0.005247414931475821,0.07449307082908137,-0.033716580826919085,0.0193271839427159,-0.018342083079105294,0.02584872873793508,0.008761575713831288,-0.008559626737480938,-0.0018953934892149197,-0.006387931306069101,0.05463302609683948,-0.024101090742419694,0.03815796263685324,-0.019531146160295894,-0.009667787638094498,0.0886061400386386,0.020497262260181656,-0.0345336441030626,-0.02814406823804183
ECFP4_sim_score,-0.0076672562324413465,-0.025602248521569865,0.09320523310318474,0.03819594701148073,-0.042169998865646784,-0.03749332800290617,0.000554786104811365,-0.05404137435417851,-0.028011001010106038,0.00879625436220748,-0.02014727539495213,-0.0449085169385128,-0.004330698025769406,0.052766887703535104,0.06331434215574996,-0.03585710668241215,0.011656325366853768,-0.04869954748153975,-0.06635252244727574,0.06564159152394627,-0.052791604346678504,-0.07977444118804439,0.0034162463549307145,0.029951824956031648,-0.02322409732525074,0.08372273158642443,0.028963307899075613,-0.027844534332372235,0.03420813226082444,-0.07419145283918825,-0.07930438770461985,0.0031579659535420595,0.022993958590437902,0.0027461032091501817,-0.07064841990346192,-0.025159295326877742,0.02995794450822247,0.0744572272272839,0.023656194302307518,-0.03167973718094226,0.002312206305055103,0.07156599538203567,-0.07706642079050358,-0.015139960837057414,0.009358650596572857,0.03878020999867462,0.013820534617847316,-0.03705187268920241,-0.07515962680711627,0.04490385012020243,0.03270223184875223
MCSS_rdkit_sim_score,0.019287412226634614,-0.025912293751673955,0.10149375545634612,0.006283402971802051,-0.0320672682288982,0.021990574454444217,-0.05418121521125995,-0.0234455135323698,-0.054748985080335925,-0.06914104019772264,-0.0008616200471561558,0.008550872860954068,-0.008100427901474253,0.03220437624195275,-0.0007025050175588014,-0.01087205835208482,-0.04161420647295179,0.06217891406250449,-0.008037182271976051,-0.009006401358392136,-0.0367072094763126,-0.0580336718636115,0.025822194621729595,0.008428430798933061,0.0030873817011468465,0.009029209348104444,0.03723803703933207,-0.012046965056678295,-0.04448181821098549,-0.016284189349778908,-0.014458684126677437,0.047089103348853384,-0.04211831959185467,0.049693347843624266,-0.04512111417360348,-0.02112280161595586,0.07140760338339004,0.05048088650873255,-0.015097897724009442,0.006418135536797322,-0.005948225506310794,0.018469194727463896,-0.009160278359840176,0.003926442005349176,0.01886009897965822,-0.007693747822780173,-0.040545401227680265,0.08075164510724682,-0.03232482035203273,0.01840930566349227,0.012836534660381
rdkit_MaxAbsEStateIndex,0.06190428655676413,0.028345641445332012,0.011403432622457532,-0.05159556264024725,0.004111877354182742,0.005524416171301199,-0.05266730349830071,-0.04349784257976197,0.03310668857003174,-0.02903890281088922,0.02741774391496167,0.04833306134520775,-0.041404690225524794,-0.09074869618971491,0.09162454853199177,0.10462288393766238,-0.009715318436120526,-0.08386894745928632,3.848303086950763e-05,-0.02030190319835793,0.001183030402593761,0.07751834984937049,-0.049137352042100305,0.03138478539808413,-0.02889736566995469,0.0345174308714738,-0.07699150468828407,0.030594687228787682,0.028909509740482592,-0.01069006766999071,0.04184651869539749,0.1635084533019726,-0.0042185720628540885,-0.06754252239079636,-0.0222984103319526,-0.02680433244063782,0.0815019612042479,-0.03737419497493484,-0.014156096210882914,0.05126454566896234,-0.008784649325276967,-0.07811294477253626,0.0008700262524359619,0.07846846745307443,0.008972453204781733,-0.0006987309555301902,0.005509988279699684,0.038831098207301275,0.016117556676888304,0.0003443064759424193,-0.040536634796367786
rdkit_MinAbsEStateIndex,-0.022285457414694853,0.012441550596642394,-0.022942569787441136,0.0674639413797185,0.03439259356459983,0.07925984268242976,0.05376299018228496,-0.07036676220116184,-0.0360814625559905,0.018302037457261142,-0.03837657704723798,0.03063255766487515,-0.02867943360172062,0.05780072221682877,-0.056373997695349475,-0.040886783583102305,0.052070185948691936,0.024685735663693177,-0.08438901480573888,0.0797818639807626,0.11240199194823593,0.0851211057950318,0.07534286669858771,-0.10439280414781107,-0.08220345683290436,0.10177339467056591,-0.09757938779376833,0.04636505404465694,-0.08431574676893014,0.03373822069950229,-0.09832491763775078,0.017465990142203052,-0.04918215311265442,0.03804050526357045,-0.00166907196486461,0.022198345387104485,0.10766401629258537,0.10288271921295136,0.008463735503892138,0.08549053475887798,0.11589452644391067,0.1335256818974265,0.032953814387210255,0.2031193263505515,0.06896685631233834,-0.021242611014072214,0.21746265977405901,0.013289544263821111,0.12025214959569565,0.010410556637424491,-0.2196704524332878
rdkit_MinEStateIndex,-0.07761690814436259,-0.008122824515783833,0.002192222580111854,-0.05226609138342602,-0.050398498297722624,-0.01617681796676733,-0.031482324644366774,0.0200868835261275,-0.025625770134495678,-0.0641600369542805,0.020015856347011446,-0.015214515366429829,-0.011181731365686213,-0.011731387239876092,-0.04384384191506173,-0.0015292934574370068,0.10434662672224668,-0.10368116668772916,-0.07580310070990134,0.055605833662076345,0.02686459343205226,0.04890160960883989,0.017713807482125022,0.026379727265042605,-0.0172274777591233,-0.031115788729185023,-0.008449844546779274,0.009704665442624385,0.017374201280546328,0.012581734725316004,0.0165840491253774,-0.012833355417294074,-0.002116652360457106,-0.0578990852559251,0.004121460563342035,-0.027106708427579933,-0.021018348468719663,-0.03926990427584741,0.008530390446034061,-0.021706728320950355,0.003394888231857501,0.009912114524579765,-0.007271063686690556,-0.020193859979200222,0.006162242602351939,0.0007314827105851917,0.010339269141166407,-0.005935390671023341,0.002393802085480155,-0.028677899759058493,-0.010537308867436791
rdkit_qed,-0.05553792474313072,0.0010808945705203148,-0.0013975623488037831,-0.004317554283260873,-0.04155838315193551,0.03374610764185979,0.09802605629413691,-0.017536927768552552,0.11794264861205501,0.06990251573863426,0.0024464216527934537,-0.04784384449769105,-0.07210404841359658,-0.08354257333988173,0.05430576832761177,-0.003627211981357842,-0.01804648689917748,-0.004281695900655484,-0.012619382037946839,0.037385877902925455,-0.041378107064348524,-0.10768885466751679,0.012826192314870533,-0.026446265526934114,0.039255155959828425,0.017073491109295368,-0.0027092858596854783,0.03694955220566679,0.023717853814566352,-0.0583479166971306,0.036292548573176785,0.002892614969131238,-0.049369169886290205,0.054901877168913565,0.018858140492294336,0.014838744921321222,0.08361927323997757,0.002894055761735784,0.03733920290023762,-0.016696866405750264,0.010903206145465848,0.023643898116263298,-0.043189028410705245,0.051842717223660906,-0.03933978505463488,0.04414713622492445,0.04388327278934719,0.006189111150742099,0.057371143899713296,-0.12517011615046159,-0.03857633829462821
rdkit_SPS,-0.02453550778551115,-0.018439851463235984,-0.11109560694337511,0.007693557574299661,0.04790542654708906,-0.029188765281828163,0.0264735750089192,-0.012149048458099377,0.01759909377145992,0.03379958545470728,0.025471197829785467,-0.028330820810116616,-0.030551838487243587,0.0028931695614107006,0.013876732187000262,0.013280235582555276,-0.005072138174460069,-0.024497274632168622,-0.014598639500109808,-0.012576433233792997,-0.011963472903390004,0.018736831604313234,-0.04209532380896103,-0.00805988693494047,0.03231117345681563,0.017721607225901215,-0.016797089501751992,-0.005762952222055095,-0.00643073728380608,-0.025362703806234014,-0.010647665150021723,0.019027249790215577,-0.01049703732570968,0.007704546873050502,0.05974173721852984,-0.006571445924748747,0.009636927027841798,-0.014334814334522886,0.022035919853159034,-0.005417117213583146,-0.014464496398052756,0.010597605014104144,-0.0209903442064726,0.004427522339879424,-0.013094727981334703,0.01602562232542906,-0.010772312110072912,-0.008668467248695234,-0.001355071099803039,0.014172038100276011,0.013988483596801165
rdkit_MolWt,0.07578883856959107,-0.0171185161580029,-0.06901821814656278,0.04781533179274682,0.025625676996551907,-0.004802193629899515,0.009668664484988036,0.025494292524760147,-0.05143434783541297,-0.02356104396785529,0.011996629825444664,0.010886869643454361,0.014542944650766236,0.010384489305030508,0.0040173975156918475,0.029301920364318418,0.015852045009875266,-0.0003072444099440211,0.007217298973789565,-0.010260299651300457,-0.022429176434064335,0.01346775820370413,-0.012172472592609269,0.018732287882521355,0.006559759433215387,0.010553526779935533,0.016268273891803964,-0.01174576542339399,-0.008556950321942886,-0.010251652988640905,-0.001372111482183372,0.024794459014431797,-0.003691177413542186,-0.005933722816052317,-0.0047002523692703125,0.0343744878074137,0.0010670713100642522,-0.01517180422450801,-0.007321995210001609,-0.006350707090398368,0.02159041924088038,0.0059531661701341205,-0.009118498019316426,-0.006219489995087319,0.002429715089430615,0.004271293905325507,0.00020308900079642927,0.012978064982910171,0.01583094132556891,-0.012495751785009335,-0.015481789866673814
rdkit_MaxPartialCharge,0.08090688539809608,0.0031217166603492684,-0.04716489517459212,-0.008377954117737995,-0.06480404970064038,-0.009119805635874568,0.020680615929261358,0.02756987812440975,-0.028741788763635666,0.001566847057870987,-0.01793266252803874,0.012963799996888684,-0.009698988897702602,0.04766024377755945,-0.009405943308181975,-0.07705204087526463,-0.018278094050897066,0.01979813996354264,-0.06383182392487806,0.019527701700809273,0.009786100626440253,0.033053517542781886,0.01881517170015271,-0.031165044741298848,-0.038631043888912066,0.011086648382044708,0.017675623450193016,0.04915967303326154,0.05322893539599274,0.016054788975461337,-0.047709007866139116,-0.01208164738583307,0.01907550721663208,-0.059142316128653324,0.02007780829838874,0.004201976593957116,0.025872841913060916,0.030614214915616486,0.015520883733535605,-0.1116922635982612,-0.15839935066696997,0.029042276569794048,0.0313236347200962,0.036044632164809465,0.04032795906205053,-0.00013663326836358455,-0.051535542319310484,-0.017064567399891796,-0.0013422497987304913,-0.028944914934377713,-0.01183906348806431
