Cluster
35
12
2
29
17
7
10
10
60
6
1
1
43
1
14
56
48
46
8
57
25
14
1
64
5
61
59
43
34
26
18
6
39
25
4
15
46
22
1
1
54
20
21
35
32
14
10
1
11
24
24
40
25
26
1
11
61
55
36
15
13
47
38
18
49
66
0
65
4
53
39
14
10
66
12
24
24
64
21
48
1
50
24
38
3
46
1
41
67
14
27
50
20
51
6
1
53
16
20
1
25
2
53
58
36
12
24
33
9
34
28
63
69
22
5
14
65
15
7
17
8
8
35
65
24
9
53
34
24
1
52
45
34
1
46
14
9
5
22
53
4
1
38
27
56
18
38
1
28
31
21
44
13
32
28
37
22
50
34
62
7
68
29
5
69
61
30
11
19
24
23
41
42
24
26
1
33
