,PC1,PC2,PC3
MACCS_sim_score,0.006953429990646572,-0.05658922745944735,-0.013482139061886526
ECFP4_sim_score,-0.018805785487967096,-0.04518367228906799,0.02486545066910248
MCSS_rdkit_sim_score,-0.013131781560556674,-0.04634921568202385,0.03713873760265397
rdkit_MaxAbsEStateIndex,0.010791266675466144,0.011061955027787578,0.04343598592094491
rdkit_MaxEStateIndex,0.010791266675466144,0.011061955027787578,0.04343598592094491
rdkit_MinAbsEStateIndex,-0.0033568428169954492,0.016881309346944526,-0.01981972604598419
rdkit_MinEStateIndex,-0.025827107290759304,-0.006478055341221643,-0.03909809215641916
rdkit_qed,-0.021213755029141346,-0.00010994151571409405,-0.028051773636450925
rdkit_SPS,0.023732152701851396,0.02631495827602134,-0.05311365635467999
rdkit_MolWt,0.04661531129945737,0.016438194328778653,0.011045045667913816
rdkit_HeavyAtomMolWt,0.0450080779238612,0.021603610920967235,0.013645278643870842
rdkit_ExactMolWt,0.046649084303700204,0.01639658034269327,0.011044437076355976
rdkit_NumValenceElectrons,0.04952459267933991,0.0033388035661904344,0.007012208397479972
rdkit_NumRadicalElectrons,0.0,-0.0,0.0
rdkit_MaxPartialCharge,0.03187429537162178,0.01545204845286044,0.03276026918772318
rdkit_MinPartialCharge,0.00625323212987696,-0.014888727862428829,-0.02093476131389329
rdkit_MaxAbsPartialCharge,-0.00625323212987696,0.014888727862428829,0.02093476131389329
rdkit_MinAbsPartialCharge,0.03187429537162178,0.01545204845286044,0.03276026918772318
rdkit_FpDensityMorgan1,-0.014333974278586336,0.03859508676783044,-0.008757100977715634
rdkit_FpDensityMorgan2,-0.017644502784593088,0.02537943180933656,-0.02374864762873683
rdkit_FpDensityMorgan3,-0.019391592575753406,0.02385302478349038,-0.03791136460964147
rdkit_AvgIpc,0.026502554242467613,-0.008699305999500702,-0.020414571234819396
rdkit_BalabanJ,-0.010653396377772292,-0.04623107259940768,0.04878465114663677
rdkit_BertzCT,0.04732821113680785,0.000924344077199374,-0.019805449346419837
rdkit_Chi0,0.04697004311536858,-0.02142472976881202,-0.008104202125855215
rdkit_Chi0n,0.04491707661865347,-0.026383479766589116,-0.01533500774480669
rdkit_Chi0v,0.04558733549097868,0.016470876579775733,-0.0015060466557419853
rdkit_Chi1,0.04745582327684795,-0.017651275777642375,-0.012307779073833286
rdkit_Chi1n,0.04544060481185062,-0.022328473521805323,-0.019906431429492288
rdkit_Chi1v,0.033172663244588736,0.03896363718223366,-0.007873013725326186
rdkit_Chi2n,0.04602526501860232,0.018843153185853223,-0.019422822461921938
rdkit_Chi2v,0.03100839705485212,0.04051202551006055,-0.0022626211336129556
rdkit_Chi3n,0.04044400036218976,0.026004046248223885,-0.03251255238510139
rdkit_Chi3v,0.029247465103384492,0.04357229690638772,-0.014047108821333245
rdkit_Chi4n,0.03700735305921191,0.026710617703081464,-0.039282207605824015
rdkit_Chi4v,0.02736478686088608,0.04463054192671524,-0.022594754681020665
rdkit_HallKierAlpha,-0.02426849445743142,0.015783147716305637,-0.004328888792410671
rdkit_Kappa1,0.027309688039057572,0.04775904104243864,0.03506841641862981
rdkit_Kappa2,0.03243486760011467,-0.026726003226070945,0.02369303134614356
rdkit_Kappa3,0.02605269050171739,-0.030181571497192354,0.04061514082656506
rdkit_LabuteASA,0.048715154605580215,-0.005875966205630707,-0.007826060723203118
rdkit_PEOE_VSA1,0.02293575108051969,-0.0273693999252215,0.006196754662363339
rdkit_PEOE_VSA10,0.004633661722480891,-0.015187426808549911,0.020126439016746205
rdkit_PEOE_VSA11,-0.007964861682766743,0.013842987563466328,0.01887840604966125
rdkit_PEOE_VSA12,3.4951639770287235e-05,0.02952075442978731,-0.0036903543646325723
rdkit_PEOE_VSA13,0.0,-0.0,0.0
rdkit_PEOE_VSA14,0.02946322862662965,0.007266803701136447,0.02769173991127872
rdkit_PEOE_VSA2,-0.00443689603227365,-0.0017468909978819633,-0.0040966697174456305
rdkit_PEOE_VSA3,-0.0035602071578179893,0.025622325627137576,0.026091803774751135
rdkit_PEOE_VSA4,0.018599860685634625,0.010534800077260875,0.01797597389945405
rdkit_PEOE_VSA5,-0.01293176474992465,0.0005301876856042422,-0.0013658297888884106
rdkit_PEOE_VSA6,0.00310487952840161,0.012360856243433584,-0.016864022937255946
rdkit_PEOE_VSA7,0.021439183153183754,-0.0043747012896522145,-0.03047547004045182
rdkit_PEOE_VSA8,0.024062043257925936,-0.030671887764834833,-0.021770362264084367
rdkit_PEOE_VSA9,0.007061737554569954,0.007719342322504521,0.016776591303275815
rdkit_SMR_VSA1,0.044738908422542724,-0.0012875124404439738,0.023670035898160375
rdkit_SMR_VSA10,-0.0063631402699249814,0.029278693205269074,0.0009133687661992997
rdkit_SMR_VSA2,-0.0071969204183719255,0.0014678709357618669,0.0040326650228815295
rdkit_SMR_VSA3,0.01725650313923859,-0.02779249319727003,-0.00613521802941889
rdkit_SMR_VSA4,-0.017246105144213302,-0.020439231621444582,0.016359850360967893
rdkit_SMR_VSA5,0.026910907989432308,0.028714490591167804,-0.039929840640061824
rdkit_SMR_VSA6,0.034422885895338574,-0.04017446009210964,0.006292241053530896
rdkit_SMR_VSA7,-0.005709366059938114,0.009388082297036148,0.008137266536303759
rdkit_SMR_VSA8,0.0,-0.0,0.0
rdkit_SMR_VSA9,0.0067280986218969715,-0.016246016958175152,0.0016964048396325405
rdkit_SlogP_VSA1,0.010907787491012786,-0.022921106720301954,-0.01144442754608166
rdkit_SlogP_VSA10,0.02371243600811895,0.004641675208870346,0.03115679242344425
rdkit_SlogP_VSA11,0.008655509161894892,-0.020327000731737,0.0016902258617066644
rdkit_SlogP_VSA12,-0.013911677789688943,0.008221430950653868,-0.006007937590361717
rdkit_SlogP_VSA2,0.03690749686280474,-0.030505196998852045,0.013559011085781131
rdkit_SlogP_VSA3,0.009034699470478627,0.04212787656874841,-0.020235615212357633
rdkit_SlogP_VSA4,0.002125328680785975,-0.014717451495607482,0.011177721562737379
rdkit_SlogP_VSA5,0.04063326437664856,0.0025446765379086474,-0.027996475987383158
rdkit_SlogP_VSA6,-0.021168530707716206,0.0077041338257162716,0.009611705458408476
rdkit_SlogP_VSA7,-0.005710161948324592,-0.0003926560937707626,0.0016280575276680003
rdkit_SlogP_VSA8,0.0032777895007250497,0.009814586249901159,0.0007185003196529392
rdkit_SlogP_VSA9,0.0,-0.0,0.0
rdkit_TPSA,0.0005635166425776703,0.02648734311202236,0.027800777729536857
rdkit_EState_VSA1,0.04584806372101081,-0.00878004174778273,-0.015743610845451905
rdkit_EState_VSA10,0.023382283344163653,0.012566017377374856,0.0004312028017713222
rdkit_EState_VSA11,0.019290331366744237,0.02032570562026035,0.044638764386898164
rdkit_EState_VSA2,-0.028305199271146938,0.02550233271784052,-0.021055271870180383
rdkit_EState_VSA3,-0.003863370882284726,-0.010589900374250817,-0.0005286768746382691
rdkit_EState_VSA4,0.0,-0.0,0.0
rdkit_EState_VSA5,0.0004985750697386664,-0.009023312038519459,0.001992702359478946
rdkit_EState_VSA6,-4.625968865302086e-05,-0.007274008768183772,-0.001409460538781257
rdkit_EState_VSA7,0.0,-0.0,0.0
rdkit_EState_VSA8,-0.00990868628654684,0.00874739157329641,0.013650687143730354
rdkit_EState_VSA9,0.028740497932120024,-0.032454735323515775,-0.0013498240713161697
rdkit_VSA_EState1,0.047630213911742963,-0.015071098216615333,-0.0018291178093261672
rdkit_VSA_EState10,0.000392587709848438,-0.015349979881970195,-0.00028919593825673886
rdkit_VSA_EState2,0.004482476332165007,0.011930349354833,-0.010966064070392552
rdkit_VSA_EState3,-0.007171723097418854,-0.0012160236249285608,0.020653444273957388
rdkit_VSA_EState4,-0.013625707041369792,-0.030864393527780573,-0.00757248047653373
rdkit_VSA_EState5,-0.018211978947760252,-0.004923122410084324,0.01175729017012728
rdkit_VSA_EState6,-0.027087731758914345,-0.00601761500110475,-0.015529905762923754
rdkit_VSA_EState7,-0.026131216170030867,-0.03561140293723127,0.03192916325735493
rdkit_VSA_EState8,-0.03330877009921148,0.047303829119970754,-0.0045788018104143055
rdkit_VSA_EState9,-0.009516731642189977,-0.007120465308295514,-0.020062071182187034
rdkit_FractionCSP3,0.04417050479018314,-0.007797570401807833,-0.027369580310324316
rdkit_HeavyAtomCount,0.04949907928543679,0.007484349667372507,0.0005521024205193157
rdkit_NHOHCount,-0.01948528228239959,0.015085814059701287,-0.0025731725927924903
rdkit_NOCount,0.025140179518753154,-0.006297340071739836,0.023016460937862467
rdkit_NumAliphaticCarbocycles,0.011389861115527767,0.0160872285129622,0.006601378213670775
rdkit_NumAliphaticHeterocycles,0.01615758406780268,0.03462683534341686,-0.05275777978964496
rdkit_NumAliphaticRings,0.01975732124011749,0.03963420576762617,-0.05026646858298838
rdkit_NumAromaticCarbocycles,0.011699401421528683,0.011376231344319905,-0.005113752208866334
rdkit_NumAromaticHeterocycles,-0.011699401421528683,-0.011376231344319906,0.005113752208866331
rdkit_NumAromaticRings,0.0,-0.0,0.0
rdkit_NumHAcceptors,0.02261671574725063,-0.01153106477072558,0.01890878767087424
rdkit_NumHDonors,-0.01948528228239959,0.015085814059701287,-0.0025731725927924903
rdkit_NumHeteroatoms,0.026211876335143793,0.023221510929493924,0.05209782100453844
rdkit_NumRotatableBonds,0.019038933190796786,-0.04983142697586931,0.030814769243154957
rdkit_NumSaturatedCarbocycles,0.011389861115527767,0.0160872285129622,0.006601378213670775
rdkit_NumSaturatedHeterocycles,0.00902583475206488,0.03601875720478761,-0.030419630387244108
rdkit_NumSaturatedRings,0.014070480042222697,0.04136976345524459,-0.024777830031171035
rdkit_RingCount,0.01975732124011749,0.03963420576762617,-0.05026646858298838
rdkit_MolLogP,0.022561654588252295,0.001592486040592458,-0.008375727516864948
rdkit_MolMR,0.045986926031032126,-0.008255335462076449,-0.014690434274614262
rdkit_fr_Al_COO,0.0,-0.0,0.0
rdkit_fr_Al_OH,-0.016593561800713783,0.013148903628122448,0.00026511973226567433
rdkit_fr_Al_OH_noTert,0.0,-0.0,0.0
rdkit_fr_ArN,0.0,-0.0,0.0
rdkit_fr_Ar_COO,0.0,-0.0,0.0
rdkit_fr_Ar_N,-0.011699401421528683,-0.011376231344319906,0.005113752208866331
rdkit_fr_Ar_NH,0.0,-0.0,0.0
