Molecule ChEMBL ID,MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4279057,0.8892264150943396,0.6558679245283019,0.5361132075471697,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)C1,IC50,'=',0.7,nM,CHEMBL4257480, 
CHEMBL4277911,0.8933076923076924,0.7476346153846154,0.8510384615384616,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C,IC50,'=',0.8,nM,CHEMBL4257480, 
CHEMBL4282954,0.8366666666666664,0.719888888888889,0.6237500000000002,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,IC50,'=',0.6,nM,CHEMBL4257480, 
CHEMBL4282523,0.8444782608695651,0.7550652173913043,0.8317826086956521,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C,IC50,'=',1.5,nM,CHEMBL4257480, 
CHEMBL4444312,0.84,0.5927142857142857,0.5810000000000001,CCC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',16.0,nM,CHEMBL4312015, 
CHEMBL4471845,0.8573200000000001,0.6973400000000001,0.8012600000000001,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',31.0,nM,CHEMBL4312015, 
CHEMBL4583545,0.8402,0.6764,0.6228,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C,IC50,'=',990.0,nM,CHEMBL4312015, 
CHEMBL4579805,0.8875961538461539,0.6579807692307692,0.8106346153846153,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',923.0,nM,CHEMBL4411272, 
CHEMBL4463634,0.8865961538461539,0.6899615384615384,0.8470000000000001,C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',20.0,nM,CHEMBL4411272, 
CHEMBL4468034,0.9078363636363636,0.7218,0.859490909090909,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',177.0,nM,CHEMBL4411272, 
CHEMBL4452628,0.9083999999999998,0.6382727272727272,0.8064727272727275,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1,IC50,'=',219.0,nM,CHEMBL4411272, 
CHEMBL4553685,0.8968518518518517,0.6301481481481482,0.8065925925925926,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',37.0,nM,CHEMBL4411272, 
CHEMBL4434924,0.9178245614035088,0.6788245614035087,0.8196666666666668,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1,IC50,'=',38.0,nM,CHEMBL4411272, 
CHEMBL4464589,0.887596153846154,0.6876153846153847,0.8242307692307691,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',7.5,nM,CHEMBL4411272, 
CHEMBL4527702,0.8962777777777782,0.8124259259259263,0.8595370370370371,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,IC50,'=',209.0,nM,CHEMBL4411272, 
