log_standard_value_x,log_standard_value_y
11.0,9.522878745280337
10.154901959985743,9.154901959985743
9.769551078621726,9.154901959985743
9.744727494896694,9.096910013008056
9.698970004336019,9.096910013008056
9.065501548756432,9.0
9.022276394711152,9.0
9.0,8.920818753952375
8.995678626217357,8.853871964321762
8.958607314841775,8.585026652029182
8.835647144215564,8.221848749616356
8.821023052706831,8.1249387366083
8.795880017344075,8.096910013008056
8.769551078621726,8.0
8.721246399047171,7.795880017344075
8.679853713888946,7.795880017344075
8.657577319177793,7.744727494896694
8.585026652029182,7.698970004336019
8.585026652029182,7.508638306165728
8.309803919971486,7.481486060122113
8.221848749616356,7.431798275933005
8.221848749616356,7.42021640338319
8.193820026016112,7.2839966563652006
8.00436480540245,7.060480747381382
7.991399828238083,7.0
7.935542010773082,6.958607314841775
7.928117992693875,6.752026733638194
7.917933065714887,6.696803942579511
7.853871964321762,6.692503962086787
7.823908740944319,6.679853713888946
7.749579997691106,6.6595558851598815
7.657577319177794,6.443697499232713
7.6020599913279625,6.443697499232713
7.458420756053419,6.411168274405793
7.455931955649724,6.407823242604133
7.337242168318426,6.401209493236885
7.251811972993799,6.376750709602099
7.217527375833714,6.049635145623877
7.191789027075778,6.034798298974088
7.187086643357144,6.00436480540245
7.102372908709558,6.000869458712629
7.031517051446065,
6.995678626217358,
6.978810700930062,
6.966576244513051,
6.913640169325252,
6.908684840302777,
6.810790510417694,
6.731422028117157,
6.67264106561367,
6.667561540084395,
6.555642874343972,
6.4139756176130245,
6.228412519118745,
6.0,
5.910094888560602,
5.698970004336019,
5.6777807052660805,
5.180456064458132,
4.823908740944319,
4.346787486224656,
