TSNE1,TSNE2
7.17031,-1.7063656
3.978768,-1.5235821
8.167528,-1.2062349
5.8416743,-3.1297188
6.9503746,-1.1207845
4.987502,-2.2203906
6.070605,-2.768266
3.8251429,-2.8228178
4.853023,-2.5103018
1.2821342,-2.3665285
3.0252209,-3.2442868
5.177635,-2.6849575
3.8450336,-2.7971647
5.2360106,-0.21477294
7.409119,-3.9613647
4.6733623,-1.5306172
2.0276752,-5.019058
6.2081294,-3.4758716
6.157738,-3.3692966
6.6460342,-4.2098722
1.4067559,-2.8510995
4.1283603,-1.4919446
3.2181659,-1.1668321
4.199913,-1.5058277
4.221782,-4.0164547
7.1329427,-4.1807995
7.3854303,-3.8685818
8.175848,-1.2111299
1.9020106,-3.3951113
3.873167,-2.911119
3.3873918,-0.7682652
6.9942646,-2.7841938
4.692208,-1.8927882
4.706972,-5.320605
7.251494,-2.8331192
0.83554524,-3.0683022
3.805138,-2.8779454
4.695682,-2.7553072
6.671879,-4.228278
1.1354861,-3.4300976
1.602248,-3.829344
4.767159,-2.6425374
2.441291,-4.6441774
1.4351306,-3.3484461
1.0571828,-2.4676514
2.0521376,-4.3828015
5.480844,-1.7761966
5.413147,-1.8403499
3.788283,-2.7783668
5.5963492,-1.7406946
2.007115,-3.6710534
5.999816,-4.5135913
6.2479925,-4.532848
4.79431,-1.4038897
4.6243815,-2.7012284
5.3049803,-5.2990317
4.0225487,-2.1521306
3.5538576,-2.4017525
3.0157135,-4.192437
3.035149,-3.7964644
