Model,R2,Q2,MSE,MAE
Random Forest,0.727648170605788,0.24350598433834114,0.534519106594324,0.5738935132811321
AdaBoost,0.835019659350112,0.2216887348166089,0.5499346108564456,0.5668809868356864
XGBoost,0.931343790872708,0.22480572061155102,0.547732229306973,0.5815148714488886
MLP,0.09611047672945339,-0.0009264621785791682,0.7072287516542578,0.6711366435115409
KNN,0.5522407855630476,0.17253644567969628,0.5846643471565394,0.5669710040873134
Gradient Boosting,0.9527298150834794,0.2442304699200044,0.5340072038193729,0.5636144331190883
SVR,0.8079892934734184,0.17619054117411093,0.5820824577844516,0.5351767110082304
