ID,Cluster
0,4
1,1
2,2
3,4
4,0
5,1
6,4
7,1
8,1
9,4
10,3
11,1
12,1
13,1
14,4
15,1
16,3
17,4
18,4
19,4
20,3
21,1
22,0
23,1
24,0
25,4
26,4
27,2
28,3
29,1
30,0
31,4
32,1
33,3
34,4
35,0
36,1
37,1
38,4
39,3
40,3
41,1
42,3
43,3
44,0
45,3
46,1
47,1
48,1
49,1
50,3
51,4
52,4
53,1
54,1
55,4
56,1
57,1
58,3
59,3
