Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4851795, ,0.45054945054945056,0.19230769230769232,0.5263157894736842,IC50,'=',65.41,nM,CHEMBL4831496,O=C(COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)NO)n2)cc1)NO
CHEMBL4282688, ,0.9285714285714286,0.5760869565217391,1.0,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2ncc(OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4873830, ,0.6341463414634146,0.1891891891891892,0.5263157894736842,IC50,'=',198.5,nM,CHEMBL4831496,O=C(O)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl
CHEMBL5174232, ,0.9130434782608695,0.5376344086021505,0.9473684210526315,IC50,'=',391.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4551557,,0.954,0.907,0.949,IC50,'=',591.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4745195,,0.925,0.886,0.949,IC50,'=',0.86,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4279016, ,1.0,0.8875,0.9473684210526315,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1
CHEMBL3954906, ,0.5833333333333334,0.28865979381443296,0.5789473684210527,IC50,'=',200.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Br)c1
CHEMBL4086559,,0.952,0.884,0.949,IC50,'=',212.5,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2OC)c(OC)cc1N(C)CCN(C)C
CHEMBL4454929,,0.74,0.822,0.667,IC50,'=',46.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCS(=O)(=O)CC1
CHEMBL4441933, ,0.8904109589041096,0.5543478260869565,0.9736842105263158,IC50,'=',33.0,nM,CHEMBL4411272,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4460320, ,0.9142857142857143,0.46,0.9736842105263158,IC50,'=',18.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4552429,,0.925,0.844,0.902,IC50,'=',35.0,nM,CHEMBL4312015,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4082763,,0.953,0.929,0.949,IC50,'=',123.4,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(OC)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353410,,1.0,1.0,1.0,IC50,'=',1.0,nM,CHEMBL4118234,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4447982,,0.871,1.0,1.0,IC50,'=',105.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[S+](C)[O-]
CHEMBL4289490, ,0.8904109589041096,0.5913978494623656,1.0,IC50,'=',2.6,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(Cl)ccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL2029438, ,0.8611111111111112,0.34513274336283184,0.8157894736842105,IC50,'=',0.7,nM,CHEMBL5120754,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4452628, ,0.9142857142857143,0.4339622641509434,0.9736842105263158,IC50,'=',219.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1
CHEMBL4451986, ,0.927536231884058,0.5714285714285714,0.9736842105263158,IC50,'=',52.0,nM,CHEMBL4411272,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5268573, ,0.7866666666666666,0.22018348623853212,0.5,Ki,'=',29.0,nM,CHEMBL5252534,COC1CCN(c2nccc(Nc3cc4c(cn3)c(C(N)=O)nn4C(C)C)n2)CC1
CHEMBL4206312, ,0.7887323943661971,0.22321428571428573,0.6052631578947368,Ki,'=',32.0,nM,CHEMBL4177539,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4583858, ,0.9142857142857143,0.5473684210526316,0.9736842105263158,IC50,'=',203.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4790568,,0.984,0.848,0.949,IC50,'=',1.01,nM,CHEMBL4706705,C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21
CHEMBL4741340,,1.0,1.0,1.0,IC50,'=',1.7,nM,CHEMBL4732150,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4575647,,0.954,0.86,0.973,IC50,'=',15000.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1NCCN(C)C
CHEMBL4875985, ,0.5977011494252874,0.2072072072072072,0.5263157894736842,IC50,'=',1.097,nM,CHEMBL4831496,O=C(NO)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2)ncc1Cl
CHEMBL4761468,,0.984,0.867,0.9,IC50,'=',0.18,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4104658,,0.968,0.826,0.9,IC50,'=',2.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4099445,,0.908,0.75,0.617,IC50,'=',64.3,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4464589, ,0.8648648648648649,0.4563106796116505,0.9736842105263158,IC50,'=',7.5,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4869024, ,0.6705882352941176,0.25471698113207547,0.5263157894736842,IC50,'=',6.82,nM,CHEMBL4831496,CN1CCN(CCOc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NO)n3)cc2)CC1
