Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4095439,,0.812,0.564,0.242,IC50,'=',1.8,nM,CHEMBL4000215,C=CC(=O)Nc1cc(Br)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4464614,,0.864,0.561,0.242,Kd,'=',1.1,nM,CHEMBL4425085,C=CC(=O)Nc1cccc(-n2c3nc(Nc4ccc(N5CCN(C)CC5)cc4OC)ncc3c(=O)n3c4ccccc4nc23)c1
CHEMBL2032380,,0.8,0.491,0.242,IC50,'=',5.17,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029430,,0.841,0.463,0.242,IC50,'=',7.1,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OCC)nc32)c1
CHEMBL4284780,,0.826,0.593,0.238,IC50,'=',1.2,nM,CHEMBL4425144,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3754040,,0.864,0.582,0.238,IC50,'=',94.0,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3752139,,0.864,0.582,0.238,IC50,'=',95.0,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(N(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4102389,,0.866,0.574,0.238,IC50,'=',3.4,nM,CHEMBL4000215,C=CC(=O)Nc1cc(CC)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3752365,,0.864,0.571,0.238,IC50,'=',78.0,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC(C)C)nc32)c1
CHEMBL3753874,,0.851,0.571,0.238,IC50,'=',17.8,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL5094288,,0.806,0.569,0.238,IC50,'=',8.04,nM,CHEMBL5034051,C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1
CHEMBL3754213,,0.841,0.561,0.238,IC50,'=',19.0,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OCCC)nc32)c1
CHEMBL3752448,,0.821,0.561,0.238,Kd,'=',2.2,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C3CC3)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4072048,,0.848,0.554,0.238,IC50,'=',3.3,nM,CHEMBL4000215,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC(C)N(C)C(C)C5)cc4OC)nc32)c1
CHEMBL2029434,,0.851,0.491,0.238,IC50,'=',0.45,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029425,,0.824,0.491,0.238,IC50,'=',5.2,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1
CHEMBL2029435,,0.809,0.473,0.238,IC50,'=',0.66,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029431,,0.851,0.472,0.238,IC50,'=',36.3,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC(C)C)nc32)c1
CHEMBL4277912,,0.838,0.593,0.234,IC50,'=',1.3,nM,CHEMBL4425144,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1
CHEMBL4125940,,0.826,0.593,0.234,IC50,'=',6.8,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1
