Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4800367,,1.0,0.886,0.949,IC50,'=',1.51,nM,CHEMBL4706705,C=CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21
CHEMBL3353412,,0.953,0.884,0.973,IC50,'=',45000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC
CHEMBL4290568, ,0.9420289855072463,0.5578947368421052,1.0,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5204954, ,0.7926829268292683,0.25,0.7631578947368421,IC50,'=',133.7,nM,CHEMBL5113409,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(CC(=O)NCCNc5cccc6c5C(=O)N(C5CCC(=O)N(C)C5=O)C6=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4747078,,0.939,0.755,0.818,IC50,'=',12.08,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5196024, ,0.6,0.19827586206896552,0.5263157894736842,IC50,'=',27.5,nM,CHEMBL5096180,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(SCCCN4CCOCC4)cc3)ncc2Cl)c1
CHEMBL3956465, ,0.5921052631578947,0.25961538461538464,0.5789473684210527,IC50,'=',20.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2C(F)(F)F)c1
CHEMBL4557005,,1.0,0.929,0.974,IC50,'=',93.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4747958,,0.816,0.867,0.881,IC50,'=',0.2,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353406,,0.984,0.848,0.949,IC50,'=',25.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5191292, ,0.8873239436619719,0.5368421052631579,0.9473684210526315,IC50,'=',100.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL3910422, ,0.581081081081081,0.28,0.5789473684210527,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Br)c1
CHEMBL4277911, ,0.9295774647887324,0.6818181818181818,1.0,IC50,'=',0.8,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C
CHEMBL4645434,,0.764,0.717,0.775,IC50,'=',2.2,nM,CHEMBL4622942,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F
CHEMBL4849337, ,0.550561797752809,0.2,0.7105263157894737,IC50,'=',113.5,nM,CHEMBL4831496,O=C(CN1CCOCC1)Nc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)NO)n2)cc1
