,count,mean,std,min,25%,50%,75%,max,mean_all,std_all
rdkit_MaxAbsEStateIndex,14.0,13.851185795750023,0.5656384438209768,13.293432923280314,13.507774657117,13.566194439962288,14.231611569279579,15.251827733763031,13.880742587154245,0.5888723646482591
rdkit_MinAbsEStateIndex,14.0,0.12807812607569527,0.056181800350199,0.0265177305899264,0.10994888642133567,0.1426588004778488,0.1592843983613375,0.2237304652548704,0.12174744268355962,0.05144445414611085
rdkit_MinEStateIndex,14.0,-4.684525358596695,0.22497487465664195,-4.969697052153023,-4.800378924639857,-4.762108625801971,-4.617495825875092,-4.254793279578794,-4.759174043984519,0.4085411871020364
rdkit_qed,14.0,0.267507716494347,0.034320656945266495,0.2077422192268397,0.24071843260743048,0.2658345569723646,0.2932670739888949,0.3170310946824793,0.2674343620293096,0.041506126937344345
rdkit_SPS,14.0,26.908438095729498,2.471428686069014,24.0,25.32762030323006,25.884779516358464,28.17948717948718,31.68421052631579,27.510148586610057,3.056777981791079
rdkit_MolWt,14.0,524.8892142857147,31.550027470861735,472.54899999999975,504.3864999999997,522.1500000000003,532.9592500000009,604.7190000000015,528.6036296296303,31.02178164197228
rdkit_MaxPartialCharge,14.0,0.25300584611451993,0.012280442996572386,0.247322234828418,0.2473222348445775,0.24732223487558505,0.25339730233958974,0.2912106547538509,0.25827384416615196,0.021145233566077445
rdkit_MinPartialCharge,14.0,-0.5032101185657154,0.03260793259121429,-0.6165029938502478,-0.4944952223233742,-0.4944952223233742,-0.4944952223203318,-0.4944952208520558,-0.5041474449480678,0.0348558359530855
rdkit_FpDensityMorgan1,14.0,1.3070439187714082,0.13021361920740132,1.022222222222222,1.264676113360324,1.3243243243243243,1.3782051282051282,1.4857142857142858,1.30359558543177,0.12352311471170935
rdkit_AvgIpc,14.0,3.512595388482926,0.08735526290953023,3.3891261565954207,3.475738360714259,3.4859633575777638,3.5383114793590202,3.7709729992336816,3.518836879538323,0.07555961076718812
rdkit_BalabanJ,14.0,2.2530344600080867,0.1728104287664471,1.8980245417316903,2.122622582316976,2.3321606282580554,2.3447578760852377,2.4675795581434943,2.217801070683126,0.18492844159705085
rdkit_Chi1v,14.0,10.028949924535828,0.6653684081941817,8.946991749427433,9.66895571113188,9.940650236516262,10.351187997445434,11.72893558169529,10.126033007631575,0.7028749139719511
rdkit_HallKierAlpha,14.0,-4.442142857142857,0.38662600834614086,-5.489999999999999,-4.4325,-4.37,-4.37,-3.98,-4.454074074074073,0.3454680132054892
rdkit_Kappa1,14.0,7.47942507980096,0.5621971219595115,6.930865321328409,7.098107375652532,7.347305665213566,7.696547782167415,9.039708239151905,7.551062789509651,0.5012480902619119
rdkit_Kappa2,14.0,11.598067320886454,0.801936089052286,10.26989038922068,11.140611452829143,11.33246147397173,12.19980746651882,13.323787029067963,11.498543736053511,0.8305050085978186
rdkit_PEOE_VSA1,14.0,30.054675677808024,2.31375927093432,24.823499039018632,29.72340876986911,29.72340876986911,29.723408769869117,34.832216960976325,30.418897153744236,2.887621218085362
rdkit_PEOE_VSA10,14.0,6.988086155000411,2.461350313747785,5.749511833283905,5.749511833283905,5.749511833283905,5.749511833283905,11.567374611118932,8.035040129170127,4.038352403228332
rdkit_PEOE_VSA11,14.0,3.6430828508540896,3.0659091768577076,2.8236841566564013,2.8236841566564013,2.8236841566564013,2.8236841566564013,14.295265875424056,4.044071571257549,3.137368786982206
rdkit_PEOE_VSA12,14.0,9.947329090057481,3.138861279715396,5.907179729351506,5.948339280986494,11.855519010338,11.855519010338,13.286718667570634,9.38150584223818,3.1747931105161866
rdkit_PEOE_VSA13,14.0,1.687765636957573,2.7693285715732903,0.0,0.0,0.0,4.430384797013629,5.907179729351506,1.531491040942983,2.6380051951808974
rdkit_PEOE_VSA14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44521961774717306,1.604074397122382
rdkit_PEOE_VSA2,14.0,5.506534115635709,1.8098646138643117,4.794537184071822,4.794537184071822,4.794537184071822,4.794537184071822,9.77851570501903,5.348312575288179,1.5961505583269706
rdkit_PEOE_VSA3,14.0,10.281558116728329,2.279996444117638,4.9839785209472085,9.967957041894415,9.967957041894415,9.967957041894415,14.951935562841626,10.051167838814301,3.8353833753285977
rdkit_PEOE_VSA4,14.0,1.1961331050241661,3.3183835011700618,0.0,0.0,0.0,0.0,11.761884949391115,1.7942097223525284,3.9871242863778087
rdkit_PEOE_VSA5,14.0,0.40937275648155386,1.5317325982332162,0.0,0.0,0.0,0.0,5.731218590741754,0.4541576871386526,1.6400321048545854
rdkit_PEOE_VSA6,14.0,25.423026157892625,8.172521277181515,6.531038962001867,24.65829508499175,24.65829508499175,29.437988760988784,37.40414488765051,25.224856889913113,6.575918391568175
rdkit_PEOE_VSA7,14.0,37.392275624465995,9.787213531514986,24.17932786902545,30.792166458495025,38.126155150403804,44.41886676290973,51.355798688215,36.9302635385897,8.847841471749307
rdkit_PEOE_VSA8,14.0,82.18489935465766,13.471222213842548,57.0307906906567,76.16463393677373,80.99057850865029,87.77765559171468,109.81069571353746,80.1230807931215,13.686296404706184
rdkit_PEOE_VSA9,14.0,57.16010734744055,6.623682045659399,50.35541762033508,53.09693473267552,54.467693288845744,60.987693448103926,72.631511298959,59.4021279250106,9.51096262872936
rdkit_SMR_VSA1,14.0,56.5109607480973,4.162529651729716,50.73632386729447,53.820530618677466,55.75421591648009,58.68772041006429,65.8146679851669,57.326406857629664,4.0813008444520085
rdkit_SMR_VSA10,14.0,43.06643164111903,5.349915652027785,39.69012626331828,39.82060276646975,39.82060276646975,48.095653842894144,51.582487715860864,42.503283875130556,5.289224120091127
rdkit_SMR_VSA2,14.0,0.2044570938903763,0.5197208623820058,0.0,0.0,0.0,0.0,1.4311996572326342,0.15902218413695937,0.4583507176782704
rdkit_SMR_VSA3,14.0,19.77920256468493,4.855419507027926,14.53505668968577,19.43496642053625,19.43496642053625,19.43496642053625,33.97002311022202,19.607360254433136,4.365173857926668
rdkit_SMR_VSA4,14.0,6.477553550262085,3.3109447198105753,0.0,6.975826900282246,6.975826900282246,6.975826900282246,13.951653800564491,5.6840071039336815,3.887365590334754
rdkit_SMR_VSA5,14.0,4.638218072228538,8.627251988069457,0.0,0.0,0.0,4.872644763236959,26.44963403725012,6.184351559785547,8.80437951525543
rdkit_SMR_VSA7,14.0,69.52728077797616,5.542392263897781,66.20604668938805,67.05693368334697,67.22583208331002,67.32368946067362,84.6368007039257,69.32972372474279,5.6145771853143485
rdkit_SMR_VSA9,14.0,17.006891319829357,3.6868252213847854e-15,17.00689131982936,17.00689131982936,17.00689131982936,17.00689131982936,17.00689131982936,17.665055820290757,1.8974921479098286
rdkit_SlogP_VSA1,14.0,20.256399391227284,3.6868252213847854e-15,20.25639939122728,20.25639939122728,20.25639939122728,20.25639939122728,20.25639939122728,20.601239359025417,1.840903133374566
rdkit_SlogP_VSA10,14.0,23.314779429645995,1.1765839950285164,22.88002160188572,23.01049810503718,23.01049810503718,23.01049810503718,27.400913152712,23.10090778299676,0.8949066061596943
rdkit_SlogP_VSA11,14.0,5.749511833283905,0.0,5.749511833283905,5.749511833283905,5.749511833283905,5.749511833283905,5.749511833283905,6.407676333745298,1.8974921479098292
rdkit_SlogP_VSA12,14.0,1.6687732028302593,4.242064880589678,0.0,0.0,0.0,0.0,11.761884949391115,1.7305796177498987,4.228952547335383
rdkit_SlogP_VSA3,14.0,11.849493576445166,3.9365080651530038,4.794537184071822,11.770364084354068,11.770364084354068,11.770364084354068,22.94621855773936,13.145684046149166,4.495868576076434
rdkit_SlogP_VSA4,14.0,0.904936639881541,2.3092412904834227,0.0,0.0,0.0,0.0,6.851892117295679,1.131314034868905,2.4348110243910432
rdkit_SlogP_VSA5,14.0,48.37704632919025,12.744984938687287,34.2689639042555,40.09468776797895,42.49351524127684,56.474115062198436,78.7512536054415,48.76512709058358,10.794368320958196
rdkit_SlogP_VSA6,14.0,67.89163757614821,4.663673300672572,60.57396965652896,66.86660667133529,67.22583208331002,67.32368946067362,79.07334921222869,66.40553866409108,5.956969237946319
rdkit_TPSA,14.0,94.50714285714285,10.85879114151042,84.31,87.55,87.55,103.515,118.26,95.70814814814815,10.611027296397854
rdkit_EState_VSA10,14.0,7.484278100683648,1.5221526942025418,4.794537184071822,6.165295740242042,7.536054296412263,8.947896374740463,9.347287057762186,8.382915217209261,2.146167478167652
rdkit_EState_VSA11,14.0,0.3136010748339157,1.1733877781525683,0.0,0.0,0.0,0.0,4.39041504767482,0.325215929457394,1.1717150933704041
rdkit_EState_VSA2,14.0,7.548227727849209,2.6861107042917673,4.567099647791355,4.567099647791355,9.50555614833122,9.87691300107973,9.87691300107973,6.872000863660484,2.632771260409564
rdkit_EState_VSA5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rdkit_EState_VSA8,14.0,11.765782180826989,3.1762289993356907,9.967957041894415,9.967957041894415,9.967957041894415,13.705940932604824,19.935914083788838,11.809440119141001,3.403129074719568
rdkit_EState_VSA9,14.0,49.016347488471396,4.435847256280672,43.2607106719446,46.2742054417257,48.662762034484096,50.08912229699063,58.9134851296254,48.738877282970726,5.260174589812307
rdkit_VSA_EState10,14.0,0.06692258343167046,1.9654188366059717,-4.05089315745505,0.0,0.0,0.0,5.767371493668393,0.23376825923735908,1.779669917628127
rdkit_VSA_EState2,14.0,20.188470861146154,2.392262909553829,18.774816417832223,18.941974828794393,19.325103217558944,20.04049081160212,27.575059349542844,20.05171947247719,1.992014936135522
rdkit_VSA_EState3,14.0,-1.6623266035502924,1.5687094791081064,-3.467955864619812,-2.2711003886203804,-1.9786177930735835,-1.8115792351166966,2.044168853821022,-1.2674915318969413,2.9773308499635465
rdkit_VSA_EState4,14.0,-9.382807497756884,1.66846446119455,-12.665505963628558,-10.022916657303371,-8.985581933618613,-8.484780692027005,-6.489210221451122,-9.93770477013162,2.7699844784350005
