,0
rdkit_VSA_EState2,0.7565016898923436
mordred_MDEN-22,0.7360568793070386
mordred_SaaN,0.7336672046853377
mordred_nBondsM,0.7021406476518016
mordred_SaaCH,0.6648051732697486
mordred_NaaCH,0.6465487159258004
mordred_ETA_beta_ns,0.6411575375755717
mordred_SaaaC,0.6321546525790138
mordred_VSA_EState6,0.5938793210089837
mordred_VSA_EState2,0.5837762257056447
mordred_PEOE_VSA8,0.5740961698874729
mordred_EState_VSA6,0.5607809220083685
mordred_ATSC5d,0.5504811609908533
mordred_ZMIC1,0.5344751057675219
rdkit_SMR_VSA3,0.5170951994796072
rdkit_SMR_VSA7,0.5135510339991625
rdkit_AvgIpc,0.5073479075821791
rdkit_fr_NH0,0.49595283424937375
mordred_MID_N,0.49381417726828974
mordred_GATS5s,0.48987886691244265
mordred_AETA_beta,0.4848686928947111
mordred_MDEN-23,0.48400680528871876
mordred_IC3,0.4805111097315902
rdkit_SMR_VSA4,0.47556415770831495
mordred_BCUTd-1l,0.4747757435290687
mordred_C1SP2,0.47396115701185065
mordred_ATS1dv,0.46873072371074087
rdkit_Kappa1,0.4664676956573762
rdkit_NumHAcceptors,0.4559537020298588
rdkit_PEOE_VSA8,0.44345350060792704
mordred_AMID_N,0.44125050143239314
rdkit_SlogP_VSA6,0.43481965398880534
mordred_GGI10,0.42901490765932027
mordred_ATSC6p,0.4281138286246481
rdkit_EState_VSA8,0.4253167674950465
mordred_ATSC6i,0.42335052095798115
mordred_GATS5se,0.4225464673430821
mordred_GGI2,0.4220913333771432
rdkit_fr_bicyclic,0.4211821799384036
mordred_AATS8v,0.4203362520493043
mordred_AATS8d,0.42027551218919096
mordred_AATS6v,0.4192264341469088
mordred_AATS8p,0.4180433466762422
mordred_AETA_eta_F,0.4157914155825353
mordred_Xc-5d,0.4116956531795991
rdkit_PEOE_VSA11,0.40333723184663156
mordred_VE3_A,0.400512514926636
mordred_ATSC8i,0.3988285952009493
mordred_AATS7d,0.3982348677456181
mordred_AATS6d,0.395245399019247
mordred_ATSC6d,0.3951490281263994
mordred_AATS7v,0.393912229586636
mordred_MID_h,0.39134029818222305
mordred_ATS0dv,0.389718168098366
mordred_AATS3dv,0.3895508096046574
mordred_AATS3v,0.3894792512722152
mordred_AATS7p,0.38759197387573563
mordred_fragCpx,0.3824863649240833
rdkit_NOCount,0.3815981265398518
mordred_AATS3p,0.3793675081824645
mordred_ATSC6v,0.36816352021086
rdkit_NumHeteroatoms,0.36461124583326804
rdkit_PEOE_VSA13,0.36428529770450874
mordred_AATS6p,0.3620113165300943
rdkit_Chi1v,0.3600107699745071
mordred_AATS5se,0.3518132476411826
mordred_GATS4se,0.3516875700733932
mordred_AATS6dv,0.3489351469417641
mordred_VSA_EState7,0.3486701444117532
mordred_TopoPSA,0.34742894099417043
mordred_VE1_A,0.3468061014157334
rdkit_MolWt,0.3467085172934589
mordred_ATS5s,0.3407260489784652
mordred_ATSC3c,0.32651393473385487
mordred_MINssNH,0.32624733567309266
mordred_GATS4s,0.32352793443241235
mordred_MINssO,0.32310193629497613
mordred_C3SP2,0.3219368547051147
mordred_ATSC3se,0.3213830528333469
rdkit_TPSA,0.31870427000479035
mordred_ATSC6dv,0.3158535445342809
rdkit_SMR_VSA10,0.3119873169152736
mordred_AATS3d,0.3005284211491305
mordred_AATS7dv,0.2905843844654067
mordred_Xpc-4d,0.2903210811317306
mordred_ZMIC2,0.2895021430830715
mordred_GATS5Z,0.2846934701253941
mordred_GATS4c,0.28224380567547747
mordred_ATSC2i,0.27899998848329327
mordred_GATS7i,0.27894813264411117
mordred_AATS7Z,0.2757066652747194
mordred_AATS1dv,0.2723683244011554
mordred_AETA_beta_s,0.26629021668945935
mordred_SssNH,0.2644490714134713
mordred_Xch-6d,0.26437872078670394
mordred_AATS2dv,0.264040329500439
mordred_EState_VSA7,0.2590446879708007
mordred_ATSC1d,0.2583908673012172
mordred_SpMAD_A,0.25700656402438266
mordred_ATS0Z,0.25584190993959105
mordred_AATS5dv,0.25474098582481813
mordred_ATSC8p,0.24978194301880993
mordred_ATSC2dv,0.24672867104266347
mordred_AATS3Z,0.24438138024736358
mordred_AXp-4d,0.24415557158850434
mordred_GATS4i,0.24408981258097728
mordred_MDEC-23,0.243652708774083
mordred_SIC4,0.24180191191352654
mordred_GATS3d,0.2383248329183632
mordred_AATS5d,0.2304296564741566
mordred_ATSC6Z,0.23030925553930448
mordred_ATSC1dv,0.2294200386590772
mordred_MAXssO,0.2275168177040268
rdkit_PEOE_VSA2,0.2272695529404334
mordred_AATS4dv,0.22672385739780626
mordred_ATSC6c,0.22436483416895678
mordred_GATS5c,0.22383267993701655
mordred_AATSC2dv,0.22263021221864582
mordred_ATS7s,0.22103180551466153
mordred_BIC4,0.21826859813233784
mordred_n6Ring,0.21562011227809655
mordred_ATSC5p,0.21505215322770532
mordred_ATSC4s,0.21445863366973095
rdkit_Kappa2,0.21352184112330394
mordred_GATS3i,0.2112240394278826
mordred_GATS7d,0.21054716876347018
mordred_AMID,0.21044929924926775
mordred_AATSC1d,0.20799148203655068
mordred_JGI2,0.20796131112790048
rdkit_VSA_EState9,0.20692539373109367
mordred_AATS0v,0.20322706948473407
mordred_GATS8c,0.20311353135483073
mordred_AATS0d,0.2004068062381917
mordred_MATS1d,0.1979828490221862
mordred_GGI6,0.19620743556007228
mordred_VSA_EState9,0.19619816431797168
rdkit_PEOE_VSA3,0.19615258218206982
mordred_ATS6s,0.1961293944815943
mordred_SdssC,0.19253571740919428
mordred_AATS5Z,0.18878705513434926
