ID,Cluster
0,2
1,3
2,2
3,2
4,3
5,2
6,2
7,3
8,2
9,2
10,0
11,2
12,3
13,0
14,3
15,2
16,3
17,3
18,3
19,0
20,3
21,3
22,3
23,3
24,3
25,3
26,2
27,2
28,3
29,3
30,3
31,1
32,3
33,0
34,1
35,1
36,3
37,3
38,0
39,1
40,1
41,3
42,0
43,1
44,3
45,1
46,1
47,1
48,3
49,1
50,1
51,3
