Model,R2,Q2,MSE,MAE
Random Forest,0.7455470010626537,-0.4410620100908662,3.0110032059933447,1.4334044605077867
PLS,0.1658515948355379,-4.6292180124883195,11.761876563361112,2.7557189238475552
AdaBoost,0.8781378135906003,-1.0848999393869998,4.356259729082546,1.7911623727919386
XGBoost,0.9323014998866008,-0.630809227355227,3.407467393870507,1.557812650582935
MLP,0.6635556518746992,-76.83999709442423,162.6414957612028,9.96498397725098
KNN,1.0,-0.5010403599061741,3.1363239779792047,1.4489067406483596
Gradient Boosting,0.5571703349688735,-0.6346727218223178,3.4155399085473834,1.53650149822547
SVR,0.7438627493234439,-0.03146543681385272,2.155178413815796,1.18789669895253
