Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,13,2.366112181226096,0.9126204225683634,0.5601268443766663,1.2999663875108445,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.4727472669450297,1,0.35249357819169713,32,33,1.1202536887533325
XGBoost,9,2.5037094232552963,0.8002419216221212,0.5345467668398994,1.2921690379278254,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 1.0}",1.3347886884620206,2,0.2656951547822217,27,29,1.0690935336797989
XGBoost,11,2.671775044257627,0.747071501599952,0.5033024515243922,1.4113428303009623,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.250373953124344,3,0.2437690500755597,19,22,1.0066049030487845
XGBoost,10,2.71042609519352,0.7416276120176954,0.4961170104120782,1.3835044592842,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",1.2377446224297737,4,0.24551060160561727,21,25,0.9922340208241565
XGBoost,14,3.7635962001774654,0.5022569223791462,0.3003269455270781,1.7431365882055354,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.8025838679062243,5,0.2019299768520681,10,15,0.6006538910541561
XGBoost,26,3.865473537462303,0.5136659950988651,0.2813873930436612,1.6822870049368797,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7950533881425264,7,0.2322786020552039,17,24,0.5627747860873225
XGBoost,27,3.865473537462303,0.5136659950988651,0.2813873930436612,1.6822870049368797,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7950533881425264,6,0.2322786020552039,16,22,0.5627747860873225
XGBoost,35,3.897747767445489,0.3993056525039428,0.2753874377158202,1.820718066334779,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.674693090219763,15,0.1239182147881226,3,18,0.5507748754316404
XGBoost,8,3.908188019691416,0.447674117646642,0.2734465378982385,1.805260360316852,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7211206555448805,12,0.17422757974840353,8,20,0.546893075796477
XGBoost,12,3.9291829628202777,0.5082468699709591,0.2695434634964831,1.6929662316284426,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7777903334674423,8,0.23870340647447602,18,26,0.5390869269929663
XGBoost,25,3.967463155182645,0.5122300663358941,0.2624269670150791,1.727558434085467,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7746570333509732,9,0.24980309932081496,23,32,0.5248539340301583
XGBoost,28,4.0348735819953125,0.5123500307461404,0.2498950011179092,1.7418828932480923,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7622450318640496,10,0.2624550296282312,26,36,0.4997900022358184
XGBoost,18,4.053879091797814,0.4054288131520105,0.2463617732188312,1.7907149771999258,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6517905863708418,18,0.1590670399331793,6,24,0.4927235464376625
XGBoost,15,4.066981100180363,0.4937105216486351,0.2439260384223309,1.787522552425756,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.737636560070966,11,0.2497844832263042,22,33,0.4878520768446618
XGBoost,30,4.097471092235515,0.4545047521051487,0.2382577826537983,1.7914382165887686,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.692762534758947,14,0.21624696945135038,14,28,0.47651556530759664
XGBoost,24,4.135086624953822,0.4009684291319186,0.2312648500242555,1.8351298733950208,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6322332791561741,21,0.1697035791076631,7,28,0.462529700048511
XGBoost,32,4.139596412557564,0.4426851800208307,0.2304264559192809,1.8326522600326216,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.6731116359401116,16,0.21225872410154978,13,29,0.4608529118385618
XGBoost,29,4.181710477875256,0.4048371211195813,0.222597221551441,1.8700623242097008,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6274343426710223,23,0.18223989956814032,9,32,0.4451944431028819
XGBoost,4,4.18940100256689,0.3096156423942509,0.2211675110789833,1.877119622523189,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.5307831534732341,31,0.08844813131526758,1,32,0.44233502215796655
