Model,R2,Q2,MSE,MAE
Random Forest,0.7886470458636944,0.12534932001789634,0.7400627201193298,0.6100058854236088
AdaBoost,0.949840697958618,0.07529712410707734,0.7824130722101373,0.6036667740556233
XGBoost,0.8954167131258356,0.13100840702818672,0.7352744321523974,0.593464441287994
MLP,0.40875011397677785,-0.11863029500789901,0.9464996688144952,0.7231122485780414
KNN,0.23698497343183567,0.08396423993759161,0.7750796195942302,0.6750070795708035
Gradient Boosting,0.935621633038466,0.00867583307738018,0.8387829293264755,0.6503955115864946
SVR,0.8181731946631816,0.09878142570612858,0.7625424466915564,0.6062040766905965
