Model,R2,Q2,MSE,MAE
Random Forest,0.8853099779930126,0.523065375646643,1.327491780470456,0.7752550451940405
AdaBoost,0.9000950623762847,0.5274359079334561,1.3153269146989859,0.7158600930808529
XGBoost,0.9915731978340734,0.5706395267503881,1.1950746915692096,0.7905657024703993
MLP,0.8507286920511262,0.49762729574746567,1.3982957025444582,0.7432626389804994
KNN,0.8657138593174208,0.5652472793385236,1.210083381968273,0.6810660313699685
Gradient Boosting,0.968728715034124,0.5095367061903147,1.3651472506060691,0.7197423242119895
SVR,0.9814372625088817,0.6218545287191584,1.0525237198453588,0.7255506849174707
